method,tx,selectivity,included_columns,join,dram_gib,target_gib,update_size,timestamp,file_path,tput,w_mib,r_mib,cycles_per_tx,utilized_cpus,cpu_time_per_tx,ssd_reads_per_tx,ssd_writes_per_tx
materialized join view,read,100,1,inner,1.0,4,5,12-31-17-13,join/1.0-4-read/12-31-17-13_sum.csv,923.2333333333333,0.0,15.577499999999997,196946.41950208333,0.183161475,0.19933629166666667,4.349852499999999,0.0
materialized join view,read-locality,50,2,inner,1.0,4,5,01-01-02-25,join/1.0-4-read-locality-sel50-col2/01-01-02-25_sum.csv,1244.3949579831933,0.0,15.571428571428566,99528.57096073951,0.1245881764705882,0.10062793277310923,3.2283814957983203,0.0
materialized join view,read,5,2,inner,1.0,4,5,01-01-15-37,join/1.0-4-read-sel5-col2/01-01-15-37_sum.csv,410184.6890756303,0.0,15.58403361344537,2868.600168504201,1.168842142857143,0.002872252100840336,0.009824823529411764,0.0
materialized join view,read-locality,100,0,inner,16.0,4,5,01-01-06-50,join/16.0-4-read-locality-col0/01-01-06-50_sum.csv,83799.35555555555,0.0,0.0,47905.62797076667,3.9959769111111116,0.04790732222222223,0.0,0.0
materialized join view,read,100,2,inner,16.0,4,5,01-01-07-45,join/16.0-4-read-col2/01-01-07-45_sum.csv,403463.02222222224,0.0,0.0,9954.110900144444,3.9966779777777783,0.009954433333333332,0.0,0.0
materialized join view,write,19,2,inner,1.0,4,5,01-01-15-15,join/1.0-4-write-sel19-col2/01-01-15-15_sum.csv,87.55,0.42083333333333345,15.115833333333331,1419479.1885425502,0.124714275,1.4346327833333334,44.69200589166667,1.2519247249999998
materialized join view,write,5,0,inner,1.0,4,5,12-31-04-55,join/1.0-4-write-sel5-col0/12-31-04-55_sum.csv,1021.1166666666667,2.630833333333334,12.909999999999998,160741.5109941,0.16378031666666668,0.16213444166666668,3.299266508333333,0.6691808166666667
materialized join view,read-locality,100,2,outer,1.0,4,5,01-01-13-43,join/1.0-4-read-locality-outer-col2/01-01-13-43_sum.csv,919.0916666666667,0.0,15.582499999999998,116780.25722806668,0.10802436666666668,0.11800953333333333,4.36753725,0.0
materialized join view,scan,50,1,inner,1.0,4,5,12-31-20-24,join/1.0-4-scan-sel50/12-31-20-24_sum.csv,0.00819672131147541,0.0,15.31885245901639,114788615.10655738,0.16763070491803278,116.23941642622951,2795.245901639344,0.0
materialized join view,write,100,1,outer,1.0,4,5,01-01-10-57,join/1.0-4-write-outer/01-01-10-57_sum.csv,34.983333333333334,0.14583333333333334,15.395833333333337,3154954.2933134334,0.11070286666666668,3.1872166833333333,114.03153374166665,1.0747454333333333
materialized join view,read-locality,5,1,inner,1.0,4,5,12-31-23-06,join/1.0-4-read-locality-sel5/12-31-23-06_sum.csv,325436.87394957984,0.0,15.587394957983186,3650.023087890756,1.179425773109244,0.0036561344537815125,0.01239429411764706,0.0
materialized join view,read-locality,100,2,inner,16.0,4,5,01-01-08-11,join/16.0-4-read-locality-col2/01-01-08-11_sum.csv,271550.4555555555,0.0,0.0,14799.333217555557,3.995496233333334,0.014799877777777776,0.0,0.0
materialized join view,write,19,1,inner,1.0,4,5,12-31-22-20,join/1.0-4-write-sel19/12-31-22-20_sum.csv,76.15,0.5783333333333331,14.975833333333332,2332257.0050510834,0.17854942499999998,2.3608752083333333,50.90698903333334,1.9540449666666668
materialized join view,read-locality,19,0,inner,1.0,4,5,12-31-03-06,join/1.0-4-read-locality-sel19-col0/12-31-03-06_sum.csv,712.3333333333334,0.0,15.589166666666664,198647.12812459999,0.14234370833333332,0.20075095,5.640232016666667,0.0
materialized join view,scan,100,0,outer,1.0,4,5,01-01-12-19,join/1.0-4-scan-outer-col0/01-01-12-19_sum.csv,0.0078125,0.0,14.537499999999998,128687206.328125,0.1208542734375,130.02870059375,4535.3984375,0.0234375
materialized join view,read,19,1,inner,1.0,4,5,12-31-21-15,join/1.0-4-read-sel19/12-31-21-15_sum.csv,1422.55,0.0,15.57083333333333,126082.00828997501,0.180704875,0.12764518333333333,2.8233681999999996,0.0
materialized join view,scan,100,2,inner,16.0,4,5,01-01-08-38,join/16.0-4-scan-col2/01-01-08-38_sum.csv,4.711111111111111,0.0,0.0,861175258.7627777,3.9957366555555547,861.211124388889,0.0,0.0
materialized join view,write,100,0,outer,1.0,4,5,01-01-12-41,join/1.0-4-write-outer-col0/01-01-12-41_sum.csv,75.38333333333334,0.18916666666666668,15.370000000000003,1536803.3765160916,0.11645458333333333,1.5539236333333333,52.712846991666666,0.627105575
materialized join view,scan,100,1,inner,1.0,4,5,12-31-18-23,join/1.0-4-scan/12-31-18-23_sum.csv,0.0,0.0,13.515328467153283,0.0,0.14386044525547445,0.0,0.0,0.0
materialized join view,read,100,0,inner,1.0,4,5,12-31-15-27,join/1.0-4-read-col0/12-31-15-27_sum.csv,439.25,0.0,15.585833333333332,435703.06128265,0.192737375,0.4406776333333333,9.142110833333332,0.0
materialized join view,write,50,1,inner,1.0,4,5,12-31-20-48,join/1.0-4-write-sel50/12-31-20-48_sum.csv,62.81666666666667,0.3449999999999999,15.202499999999997,2809695.7704013246,0.17743525000000002,2.844542558333333,62.67487956666667,1.436619925
materialized join view,write,50,2,inner,1.0,4,5,01-01-03-06,join/1.0-4-write-sel50-col2/01-01-03-06_sum.csv,64.28333333333333,0.25416666666666665,15.293333333333335,1755218.02378565,0.11341074166666668,1.7744099583333333,61.52525166666667,1.0197392333333333
materialized join view,read-locality,5,2,inner,1.0,4,5,01-01-16-00,join/1.0-4-read-locality-sel5-col2/01-01-16-00_sum.csv,426912.6386554622,0.0,15.58823529411764,2731.1333364033608,1.1566591512605042,0.002734268907563025,0.009452521008403358,0.0
materialized join view,read-locality,50,1,inner,1.0,4,5,12-31-20-02,join/1.0-4-read-locality-sel50/12-31-20-02_sum.csv,847.5916666666667,0.0,15.576666666666663,209220.897218225,0.17865440833333335,0.21158152500000002,4.735965958333334,0.0
