method,tx,selectivity,included_columns,join,dram_gib,target_gib,update_size,timestamp,file_path,tput,sst_read_per_tx,sst_write_per_tx,cpu_time_per_tx,utilized_cpus
merged index,write,50,1,inner,1.0,4,5,09-22-06-00,rocksdb_merged/1.0-4-write-sel50/09-22-06-00_sum.csv,384.275,9725.041666666666,33.81666666666667,1.0823943333333335,0.4127483333333333
merged index,read-locality,50,1,inner,1.0,4,5,09-22-05-31,rocksdb_merged/1.0-4-read-locality-sel50/09-22-05-31_sum.csv,920.0666666666667,4194.3,0.0,0.23105325,0.21254191666666664
merged index,scan,100,0,inner,1.0,4,5,01-01-18-21,rocksdb_merged/1.0-4-scan-col0/01-01-18-21_sum.csv,0.04,3995594.16,0.0,196.71465544,0.18688512
merged index,write,100,0,inner,1.0,4,5,01-01-18-40,rocksdb_merged/1.0-4-write-col0/01-01-18-40_sum.csv,240.43333333333334,16603.783333333333,0.0,0.9570127500000001,0.22426025000000002
merged index,read,50,1,inner,1.0,4,5,09-22-05-17,rocksdb_merged/1.0-4-read-sel50/09-22-05-17_sum.csv,928.6666666666666,4160.866666666667,0.0,0.22184466666666666,0.20594925
merged index,read,5,1,inner,1.0,4,5,09-22-07-11,rocksdb_merged/1.0-4-read-sel5/09-22-07-11_sum.csv,978.4916666666667,3932.3166666666666,0.0,0.23233783333333333,0.22734691666666668
merged index,read-locality,19,1,inner,1.0,4,5,09-22-06-28,rocksdb_merged/1.0-4-read-locality-sel19/09-22-06-28_sum.csv,957.375,4011.775,0.0,0.24489425,0.23439491666666665
merged index,read-locality,100,1,inner,1.0,4,5,09-22-04-33,rocksdb_merged/1.0-4-read-locality/09-22-04-33_sum.csv,841.975,4586.158333333334,0.0,0.24438533333333332,0.20569174999999998
merged index,scan,19,1,inner,1.0,4,5,09-22-06-42,rocksdb_merged/1.0-4-scan-sel19/09-22-06-42_sum.csv,1.5333333333333334,2583075.025,0.0,398.28155675,0.5432042499999999
merged index,scan,5,1,inner,1.0,4,5,09-22-07-39,rocksdb_merged/1.0-4-scan-sel5/09-22-07-39_sum.csv,1.8083333333333333,2099297.2583333333,0.0,319.2281416666666,0.535579
merged index,read-locality,100,0,inner,1.0,4,5,01-01-18-06,rocksdb_merged/1.0-4-read-locality-col0/01-01-18-06_sum.csv,207.75833333333333,18732.933333333334,0.0,0.8574731666666666,0.1779359166666667
merged index,write,100,1,inner,1.0,4,5,09-22-05-02,rocksdb_merged/1.0-4-write/09-22-05-02_sum.csv,119.91666666666667,31942.775,15.633333333333333,2.542903166666667,0.3023569166666667
merged index,write,5,1,inner,1.0,4,5,09-22-07-53,rocksdb_merged/1.0-4-write-sel5/09-22-07-53_sum.csv,2190.758333333333,1635.4833333333333,39.075,0.33306533333333327,0.7201244166666666
traditional indexes,read,100,1,inner,1.0,4,5,09-22-04-23,rocksdb_base/1.0-4-read/09-22-04-23_sum.csv,448.64166666666665,8587.183333333332,0.0,0.47700058333333334,0.2139235
traditional indexes,scan,50,1,inner,1.0,4,5,09-22-05-50,rocksdb_base/1.0-4-scan-sel50/09-22-05-50_sum.csv,1.0583333333333333,3426954.625,0.0,518.2709015,0.5334178333333333
traditional indexes,read-locality,5,1,inner,1.0,4,5,09-23-21-24,rocksdb_base/1.0-4-read-locality-sel5/09-23-21-24_sum.csv,369.44166666666666,10462.191666666668,0.0,0.5528000000000001,0.20415916666666664
traditional indexes,write,19,1,inner,1.0,4,5,09-22-07-01,rocksdb_base/1.0-4-write-sel19/09-22-07-01_sum.csv,624.1166666666667,6069.983333333334,23.983333333333334,0.7137815000000001,0.43684216666666664
traditional indexes,read,19,1,inner,1.0,4,5,09-22-06-19,rocksdb_base/1.0-4-read-sel19/09-22-06-19_sum.csv,440.1,8732.358333333334,0.0,0.5310448333333333,0.233651
traditional indexes,scan,100,1,inner,1.0,4,5,09-22-04-52,rocksdb_base/1.0-4-scan/09-22-04-52_sum.csv,0.7416666666666667,3571522.683333333,0.0,524.4053916666667,0.5197964166666668
traditional indexes,read,100,0,inner,1.0,4,5,01-01-17-56,rocksdb_base/1.0-4-read-col0/01-01-17-56_sum.csv,272.575,14290.541666666666,0.0,0.6250907499999999,0.17031841666666664
traditional indexes,write,50,1,inner,1.0,4,5,09-22-06-04,rocksdb_base/1.0-4-write-sel50/09-22-06-04_sum.csv,403.0416666666667,9318.191666666668,36.075,0.9712923333333333,0.3903861666666667
traditional indexes,read-locality,50,1,inner,1.0,4,5,09-22-05-36,rocksdb_base/1.0-4-read-locality-sel50/09-22-05-36_sum.csv,427.025,9039.1,0.0,0.48834358333333333,0.20846100000000004
traditional indexes,scan,100,0,inner,1.0,4,5,01-01-18-26,rocksdb_base/1.0-4-scan-col0/01-01-18-26_sum.csv,0.0,0.0,0.0,0.0,0.10728599999999999
traditional indexes,write,100,0,inner,1.0,4,5,01-01-18-45,rocksdb_base/1.0-4-write-col0/01-01-18-45_sum.csv,155.79166666666666,25468.808333333334,0.0,1.282434,0.19646775
traditional indexes,read,50,1,inner,1.0,4,5,09-22-05-22,rocksdb_base/1.0-4-read-sel50/09-22-05-22_sum.csv,444.775,8660.991666666667,0.0,0.4931608333333333,0.2192371666666667
traditional indexes,read,5,1,inner,1.0,4,5,09-22-07-15,rocksdb_base/1.0-4-read-sel5/09-22-07-15_sum.csv,391.19166666666666,9834.608333333334,0.0,0.5810795833333333,0.227226
traditional indexes,read-locality,19,1,inner,1.0,4,5,09-22-06-33,rocksdb_base/1.0-4-read-locality-sel19/09-22-06-33_sum.csv,427.8333333333333,8973.6,0.0,0.5539595833333333,0.23691108333333333
traditional indexes,read-locality,100,1,inner,1.0,4,5,09-22-04-38,rocksdb_base/1.0-4-read-locality/09-22-04-38_sum.csv,424.7916666666667,9050.966666666667,0.0,0.5299304166666666,0.22502325000000004
traditional indexes,scan,19,1,inner,1.0,4,5,09-22-06-47,rocksdb_base/1.0-4-scan-sel19/09-22-06-47_sum.csv,1.4166666666666667,2767189.125,0.0,451.53564991666667,0.5691956666666668
traditional indexes,scan,5,1,inner,1.0,4,5,09-22-07-43,rocksdb_base/1.0-4-scan-sel5/09-22-07-43_sum.csv,1.7583333333333333,2168149.9583333335,0.0,355.43693675,0.5717545
traditional indexes,read-locality,100,0,inner,1.0,4,5,01-01-18-11,rocksdb_base/1.0-4-read-locality-col0/01-01-18-11_sum.csv,161.20833333333334,24144.633333333335,0.0,1.088123333333333,0.1752633333333333
traditional indexes,write,100,1,inner,1.0,4,5,09-22-05-07,rocksdb_base/1.0-4-write/09-22-05-07_sum.csv,122.20833333333333,31055.116666666665,12.975,2.783440583333333,0.3362418333333333
traditional indexes,write,5,1,inner,1.0,4,5,09-22-07-58,rocksdb_base/1.0-4-write-sel5/09-22-07-58_sum.csv,2338.575,1569.325,42.675,0.3080105,0.70402625
